n,slim,lmntal-interpreter
10000,0.12200,0.03026
20000,0.53093,0.11455
40000,1.99696,0.47067
80000,7.59886,2.64498
160000,29.30863,16.02761
320000,115.49513,74.02474
640000,537.72020,316.13850
